Ordered at,Check #,Net Sales
10/1/2018,1256,"$15,000.00"
10/1/2018,5653,"$15,000.00"
1/26/2019,9117,"$15,000.00"
5/20/2019,7729,"$15,000.00"
9/29/2018,6436,"$2,000.00"
11/4/2018,7233,"$2,000.00"
11/17/2018,4402,"$2,000.00"
11/30/2018,9950,"$2,000.00"
12/11/2018,6890,"$2,000.00"
12/14/2018,8196,"$2,000.00"
12/17/2018,4120,"$2,000.00"
12/18/2018,5999,"$2,000.00"
12/20/2018,2305,"$2,000.00"
1/10/2019,2529,"$2,000.00"
1/25/2019,246,"$2,000.00"
1/29/2019,1615,"$2,000.00"
2/2/2019,8937,"$2,000.00"
2/20/2019,7491,"$2,000.00"
3/2/2019,5467,"$2,000.00"
5/21/2019,7306,"$2,000.00"
6/1/2019,3391,"$2,000.00"
6/7/2019,7114,"$2,000.00"
6/25/2019,3965,"$2,000.00"
6/30/2019,6927,"$2,000.00"
9/6/2018,8762,"$4,000.00"
10/20/2018,6100,"$4,000.00"
11/7/2018,4908,"$4,000.00"
11/10/2018,8579,"$4,000.00"
12/13/2018,1153,"$4,000.00"
4/27/2019,234,"$4,000.00"
4/30/2019,5894,"$4,000.00"
6/22/2019,9943,"$4,000.00"
