date,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,temperature,day_of_week,month
2017-01-01,37.83,0.54,0.0,05:01AM,0.0,none,1028.26,clear-night,37.83,6,1
2017-01-02,35.58,0.92,0.0242,03:00PM,0.79,rain,1027.98,rain,39.06,0,1
2017-01-03,41.5,0.94,0.0913,05:00PM,0.77,rain,1000.08,rain,43.19,1,1
2017-01-04,36.81,0.4,0.0176,12:00AM,0.0,rain,1002.55,clear-night,42.29,2,1
2017-01-05,27.11,0.48,0.0,05:01AM,0.0,none,1014.61,cloudy,31.36,3,1
2017-01-06,24.74,0.48,0.0019,12:00PM,0.0,snow,1022.8,partly-cloudy-night,29.42,4,1
2017-01-07,12.75,0.86,0.0005,04:00PM,0.0,snow,1019.96,fog,20.76,5,1
2017-01-08,12.43,0.5,0.0,05:01AM,0.0,none,1032.24,partly-cloudy-night,20.61,6,1
2017-01-09,20.6,0.6,0.0,05:01AM,0.0,none,1038.82,partly-cloudy-night,20.6,0,1
2017-01-10,36.32,0.82,0.0046,11:00PM,0.1,rain,1028.4,cloudy,36.32,1,1
2017-01-11,45.38,0.83,0.0999,03:00AM,0.0,rain,1024.75,partly-cloudy-night,45.38,2,1
2017-01-12,61.38,0.7,0.0873,12:00AM,0.0,rain,1016.83,partly-cloudy-night,61.38,3,1
2017-01-13,30.67,0.46,0.0,05:01AM,0.0,none,1036.88,clear-night,35.67,4,1
2017-01-14,29.35,0.9,0.0007,05:00PM,0.0,none,1029.87,cloudy,29.35,5,1
2017-01-15,32.81,0.64,0.0076,12:00PM,0.0,rain,1028.75,clear-night,32.81,6,1
2017-01-16,38.64,0.61,0.0003,02:00PM,0.0,none,1027.4,partly-cloudy-night,38.64,0,1
2017-01-17,39.16,0.92,0.0614,07:00PM,1.0,rain,1017.45,rain,39.16,1,1
2017-01-18,40.71,0.87,0.0218,04:00AM,0.0,rain,1017.04,cloudy,40.71,2,1
2017-01-19,41.9,0.73,0.0,05:01AM,0.0,none,1017.13,partly-cloudy-night,41.9,3,1
2017-01-20,40.89,0.9,0.023,06:00PM,0.56,rain,1013.34,rain,40.89,4,1
2017-01-21,45.52,0.93,0.0016,12:00AM,0.0,rain,1009.74,cloudy,45.52,5,1
2017-01-22,46.11,0.85,0.0034,06:00PM,0.07,rain,1007.34,cloudy,47.89,6,1
2017-01-23,30.42,0.9,0.1405,08:00PM,1.0,rain,1003.1,rain,37.0,0,1
2017-01-24,33.08,0.86,0.1224,12:00AM,0.65,rain,995.82,rain,38.69,1,1
2017-01-25,43.1,0.71,0.0015,12:00AM,0.0,rain,1004.03,partly-cloudy-night,43.1,2,1
2017-01-26,40.0,0.56,0.0061,11:00AM,0.0,rain,998.44,partly-cloudy-night,44.19,3,1
2017-01-27,34.08,0.58,0.0,05:01AM,0.0,none,1003.06,cloudy,38.99,4,1
2017-01-28,33.72,0.57,0.0,05:01AM,0.0,none,1007.07,cloudy,36.61,5,1
2017-01-29,37.06,0.47,0.0,05:01AM,0.0,none,1006.94,partly-cloudy-night,37.06,6,1
